Symbol,DateTime,Open,High,Low,Close,Volume,RSI_RSI,MACD_MACD,MACD_MACD_Signal,MACD_MACD_Hist
AAPL,2021-06-15 16:36:00,127.2463,127.2463,127.2463,127.2463,1000,,,,
AAPL,2021-06-15 16:35:00,127.1972,127.2463,127.1972,127.2463,5816,,,,
AAPL,2021-06-15 16:34:00,127.1972,127.2169,127.1972,127.1972,2943,,,,
AAPL,2021-06-15 16:33:00,127.2267,127.2365,127.2267,127.2365,1000,,,,
AAPL,2021-06-15 16:32:00,127.1972,127.2267,127.1972,127.2267,731,,,,
AAPL,2021-06-15 16:31:00,127.1972,127.2267,127.1972,127.2267,1226,,,,
AAPL,2021-06-15 16:30:00,127.2071,127.2071,127.2071,127.2071,6099,,,,
AAPL,2021-06-15 16:29:00,127.1972,127.2071,127.1972,127.2071,301,,,,
AAPL,2021-06-15 16:28:00,127.1972,127.2071,127.1972,127.1972,3500,,,,
AAPL,2021-06-15 16:27:00,127.2365,127.2365,127.2365,127.2365,3545,,,,
AAPL,2021-06-15 16:26:00,127.2267,127.2365,127.2267,127.2267,2800,,,,
AAPL,2021-06-15 16:25:00,127.2267,127.2267,127.2267,127.2267,1000,,,,
AAPL,2021-06-15 16:24:00,127.2169,127.2365,127.1874,127.1874,1558,,,,
AAPL,2021-06-15 16:23:00,127.1874,127.1874,127.1776,127.1776,607,,,,
AAPL,2021-06-15 16:22:00,127.1972,127.2365,127.1972,127.2365,1887,,,,
AAPL,2021-06-15 16:21:00,127.2071,127.2071,127.2071,127.2071,2000,,,,
AAPL,2021-06-15 16:20:00,127.2169,127.2560,127.2071,127.2071,1792,,,,
AAPL,2021-06-15 16:18:00,127.2561,127.2561,127.2561,127.2561,5037,,,,
AAPL,2021-06-15 16:17:00,127.1874,127.2659,127.1874,127.2659,4753,,,,
AAPL,2021-06-15 16:16:00,127.2365,127.2365,127.1776,127.1776,4951,,,,
AAPL,2021-06-15 16:14:00,127.2365,127.2365,127.2365,127.2365,2233,,,,
AAPL,2021-06-15 16:13:00,127.1776,127.1776,127.1776,127.1776,36772,,,,
AAPL,2021-06-15 16:12:00,127.2364,127.2365,127.2267,127.2365,6398,,,,
AAPL,2021-06-15 16:11:00,127.2267,127.2365,127.2267,127.2365,619,,,,
AAPL,2021-06-15 16:10:00,127.2169,127.2169,127.2169,127.2169,100,,,,
AAPL,2021-06-15 16:09:00,127.2463,127.2561,127.2267,127.2267,544,,,,
AAPL,2021-06-15 16:08:00,127.2169,127.2365,127.2169,127.2365,5831,,,,
AAPL,2021-06-15 16:07:00,127.2203,127.2203,127.1874,127.1972,919,,,,
AAPL,2021-06-15 16:06:00,127.2169,127.2267,127.2169,127.2267,5260,,,,
AAPL,2021-06-15 16:05:00,127.1874,127.2267,127.1776,127.2267,2145,,,,
AAPL,2021-06-15 16:04:00,127.1972,127.2365,127.1972,127.2365,12462,,,,
AAPL,2021-06-15 16:03:00,127.1874,127.2169,127.1874,127.1972,1540,,,,
AAPL,2021-06-15 16:02:00,127.1776,127.2365,127.1776,127.2169,85485,,,,
AAPL,2021-06-15 16:01:00,127.2463,127.2463,127.1776,127.2169,1209642,,,,
AAPL,2021-06-15 16:00:00,127.3346,127.3346,127.1776,127.2267,5448519,,,,
AAPL,2021-06-15 15:59:00,127.1188,127.3640,127.0795,127.2757,962560,,,,
AAPL,2021-06-15 15:58:00,127.1678,127.2071,127.0991,127.1188,443756,,,,
AAPL,2021-06-15 15:57:00,127.1580,127.2365,127.1482,127.1776,398554,,,,
AAPL,2021-06-15 15:56:00,127.1972,127.2267,127.1482,127.1580,272553,,,,
AAPL,2021-06-15 15:55:00,127.1678,127.2414,127.1286,127.1874,366945,,,,
AAPL,2021-06-15 15:54:00,127.3248,127.3346,127.0697,127.1580,587060,,,,
AAPL,2021-06-15 15:53:00,127.3395,127.3738,127.3052,127.3270,188414,,,,
AAPL,2021-06-15 15:52:00,127.4033,127.4327,127.3248,127.3395,248254,,,,
AAPL,2021-06-15 15:51:00,127.4572,127.4719,127.3640,127.4033,207055,,,,
AAPL,2021-06-15 15:50:00,127.5210,127.5210,127.3150,127.4572,445926,,,,
AAPL,2021-06-15 15:49:00,127.4425,127.5308,127.4327,127.5210,232473,,,,
AAPL,2021-06-15 15:48:00,127.3838,127.4425,127.3738,127.4327,159143,,,,
